Date,Regime_droit_commun,Regime_derogatoire,Inscriptions_hypotheques,pourcentage_droit_commun,pourcentage_regime_derogatoire,pourcentage_inscriptions_hypotheques
2004-03-31,197856181.25541127,124239093.33333334,107970730.0,46.00600353069372,28.88837806469692,25.10561840460936
2004-04-30,175443908.55936766,119910601.66666666,97678666.66666667,44.63844755967364,30.509027918374066,24.8525245219523
2004-05-31,144166909.95670998,104270969.99999999,75098191.66666667,44.55976399581573,32.22854548391136,23.211690520272903
2004-06-30,198470223.3643471,99921969.99999999,93825635.0,50.60204024687527,25.476141769664384,23.921817983460343
2004-07-31,223380608.75632656,191541795.0,76646826.66666667,45.44234971015344,38.965375199578524,15.592275090268037
2004-08-31,253802415.704917,117415000.0,143818026.66666666,49.27863110473194,22.797460201833715,27.923908693434335
2004-09-30,270862087.55411255,140493156.66666666,99959710.0,52.9736291337096,27.476833115661925,19.549537750628488
2004-10-31,236151303.1601732,126592631.66666667,93822843.33333334,51.72327783282699,27.72707908726888,20.549643079904143
2004-11-30,211873407.92207792,102853000.0,95962418.33333333,51.58976684462115,25.044022000256412,23.366211155122443
2004-12-31,206437886.95526707,110901333.33333333,103945166.66666667,49.002026504530086,26.324577118759706,24.67339637671021
2005-01-31,184303551.1111111,116602333.33333333,89124510.00000001,47.25363811034043,29.89570428207796,22.850657607581613
2005-02-28,209028471.54401156,131208166.66666666,78534281.66666667,49.91475329882852,31.331728264488046,18.753518436683432
2005-03-31,204545219.33621934,104906333.33333333,92189026.66666667,50.92742861646743,26.119455734953178,22.953115648579388
2005-04-30,194553710.93795094,102596988.33333334,90196780.0,50.22717878633528,26.487067510120056,23.28575370354467
2005-05-31,200058448.05194804,101155333.33333333,81319205.0,52.29835208262333,26.44355831615818,21.258089601218476
2005-06-30,224953225.95238096,123290833.33333333,94325690.0,50.8288752937688,27.857944094082036,21.31318061214916
2005-07-31,224903119.40836942,114003338.33333333,98288333.33333333,51.4423145013567,26.07609712206449,22.481588376578813
2005-08-31,264905249.82251084,148518833.33333334,87410000.0,52.89281595080271,29.654298365137187,17.452885684060103
2005-09-30,316337095.30764794,138992980.0,104256663.33333333,56.53048463512695,24.83850498987162,18.631010375001424
2005-10-31,252521166.58277875,105914833.33333333,71428563.33333333,58.744355355536406,24.63911715185329,16.61652749261031
2005-11-30,237583773.56421357,124415666.66666666,84904713.33333334,53.16213144796298,27.839451854364995,18.998416697672013
2005-12-31,216072285.90720648,148389000.0,114323686.66666666,45.12929567225881,30.992827365128843,23.877876962612337
2006-01-31,242927961.6594517,182664500.0,98000860.0,46.39630637180921,34.886713111823475,18.71698051636731
2006-02-28,288899088.85541123,248555833.3333333,119827006.66666667,43.95360288673983,37.81571079645651,18.23068631680367
2006-03-31,266930457.76758635,149235166.66666666,118638000.0,49.91186401362953,27.904666282794267,22.183469703576208
2006-04-30,217234313.31890336,116358833.33333333,129870141.66666666,46.87195702314767,25.106375470513697,28.02166750633863
