Saison;Compagnie Operating;Numéro de vol;Compagnie Marketing;Numéro de vol Marketing;Aéroport de départ;Aéroport d'arrivée;Jour de départ en Local;Jour d'arrivée  en Local;Heure de départ en Local;Heure d'arrivée en Local;Date de début de période;Date de fin  de période;Compagnie propriétaire;Type Avion
W19;Sham Wing Airlines;9;Thai Flying Helicopter Service;2378;John F Kennedy International Airport;Charles de Gaulle International Airport;4;5;23:55;13:05;;;Sham Wing Airlines;Boeing 777-200/Boeing 777-200ER
W19;Sham Wing Airlines;9;Thai Flying Helicopter Service;2378;John F Kennedy International Airport;Charles de Gaulle International Airport;5;6;23:55;13:05;;;Sham Wing Airlines;Boeing 777-200/Boeing 777-200ER
W19;Sham Wing Airlines;9;Thai Flying Helicopter Service;2378;John F Kennedy International Airport;Charles de Gaulle International Airport;6;7;23:55;13:05;;;Sham Wing Airlines;Boeing 777-200/Boeing 777-200ER
W19;Sham Wing Airlines;9;Thai Flying Helicopter Service;2378;John F Kennedy International Airport;Charles de Gaulle International Airport;7;1;23:55;13:05;;;Sham Wing Airlines;Boeing 777-200/Boeing 777-200ER
W19;Sham Wing Airlines;10;Thai Flying Helicopter Service;2304;Charles de Gaulle International Airport;John F Kennedy International Airport;1;1;16:05;18:55;;;Sham Wing Airlines;Boeing 777-300ER
W19;Sham Wing Airlines;10;Thai Flying Helicopter Service;2304;Charles de Gaulle International Airport;John F Kennedy International Airport;2;2;16:05;18:55;;;Sham Wing Airlines;Boeing 777-300ER
W19;Sham Wing Airlines;10;Thai Flying Helicopter Service;2304;Charles de Gaulle International Airport;John F Kennedy International Airport;3;3;16:05;18:55;;;Sham Wing Airlines;Boeing 777-300ER
W19;Sham Wing Airlines;10;Thai Flying Helicopter Service;2304;Charles de Gaulle International Airport;John F Kennedy International Airport;4;4;16:05;18:55;;;Sham Wing Airlines;Boeing 777-300ER
W19;Sham Wing Airlines;10;Thai Flying Helicopter Service;2304;Charles de Gaulle International Airport;John F Kennedy International Airport;5;5;16:05;18:55;;;Sham Wing Airlines;Boeing 777-300ER
W19;Sham Wing Airlines;10;Thai Flying Helicopter Service;2304;Charles de Gaulle International Airport;John F Kennedy International Airport;6;6;16:05;18:55;;;Sham Wing Airlines;Boeing 777-300ER
W19;Sham Wing Airlines;10;Thai Flying Helicopter Service;2304;Charles de Gaulle International Airport;John F Kennedy International Airport;7;7;16:05;18:55;;;Sham Wing Airlines;Boeing 777-300ER
W19;Sham Wing Airlines;11;Thai Flying Helicopter Service;2377;John F Kennedy International Airport;Charles de Gaulle International Airport;1;2;21:30;10:55;;;Sham Wing Airlines;Boeing 777-300ER
W19;Sham Wing Airlines;11;Thai Flying Helicopter Service;2377;John F Kennedy International Airport;Charles de Gaulle International Airport;2;3;21:30;10:55;;;Sham Wing Airlines;Boeing 777-300ER
W19;Sham Wing Airlines;11;Thai Flying Helicopter Service;2377;John F Kennedy International Airport;Charles de Gaulle International Airport;3;4;21:30;10:55;;;Sham Wing Airlines;Boeing 777-300ER
W19;Sham Wing Airlines;11;Thai Flying Helicopter Service;2377;John F Kennedy International Airport;Charles de Gaulle International Airport;4;5;21:30;10:55;;;Sham Wing Airlines;Boeing 777-300ER
W19;Sham Wing Airlines;11;Thai Flying Helicopter Service;2377;John F Kennedy International Airport;Charles de Gaulle International Airport;5;6;21:30;10:55;;;Sham Wing Airlines;Boeing 777-300ER
W19;Sham Wing Airlines;11;Thai Flying Helicopter Service;2377;John F Kennedy International Airport;Charles de Gaulle International Airport;6;7;21:30;10:55;;;Sham Wing Airlines;Boeing 777-300ER
W19;Sham Wing Airlines;11;Thai Flying Helicopter Service;2377;John F Kennedy International Airport;Charles de Gaulle International Airport;7;1;21:30;10:55;;;Sham Wing Airlines;Boeing 777-300ER
