Index,date_mutation,valeur_fonciere,num_voie,type_voie,code_voie,voie,code_postal,commune,code_dep,code_com,no_plan,no_vol,nb_lot,code_typ_local,surface_reel_bati,nb_piece_prin,surf_terrain,tt_surf_carez,vente,vente_etat_futur_achev,appartement,dependance,local_indus_com,maison
1026277,05/10/2020,275100.0,24,RUE,1080,RIVALS,31770,COLOMIERS,31,149,246,,0,1,92,4,182,0.0,1,0,0,0,0,1
1053556,21/12/2020,1583960.0,23,CHE,0791,DE HURGUET,31600,MURET,31,395,478,,0,3,506,14,3520,0.0,4,0,0,1,0,1
1018991,12/06/2020,1065600.0,,,B123,FRINGUES,31620,FRONTON,31,202,313,,0,,0,0,21931,0.0,4,0,0,0,0,0
1050165,26/09/2020,275100.0,192,CHE,0124,DE MORONCAZAL,31410,NOE,31,399,1829,,0,1,117,4,961,0.0,1,0,0,0,0,1
1024903,26/09/2020,701700.0,,CHE,0122,DE LADOUX,31790,ST JORY,31,490,182,,3,,0,0,0,0.0,3,1,0,0,0,0
989153,30/04/2020,435200.0,44,RUE,2192,DE LA COLOMBETTE,31000,TOULOUSE,31,555,360,,0,1,48,3,66,0.0,1,0,0,0,0,1
1004655,06/11/2020,679629.8,94,RTE,0020,DE BESSIERES,31140,LAUNAGUET,31,282,1,,2,2,172,8,623,50.91,3,0,1,1,0,1
1028314,29/10/2020,451000.0,395,RTE,7988,DE SAINT SIMON,31100,TOULOUSE,31,555,614,,2,,0,0,0,0.0,2,1,0,0,0,0
985005,22/01/2020,177000.0,15,RUE,7388,DU REMPART VILLENEUVE,31000,TOULOUSE,31,555,64,,1,2,38,3,0,37.14,1,0,1,0,0,0
1034133,07/01/2020,233500.0,292,,B068,LAFFARGUETTE,31560,NAILLOUX,31,396,800,,0,1,100,4,1173,0.0,1,0,0,0,0,1
1051750,06/11/2020,117000.0,94,RUE,0022,D ANDORRE,31120,PINSAGUEL,31,420,424,,1,2,64,3,0,0.0,1,0,1,0,0,0
1030506,09/12/2020,338900.0,14,RUE,3945,DU VAL LOURON,31170,TOURNEFEUILLE,31,557,421,,0,1,97,5,402,0.0,1,0,0,0,0,1
1032094,15/12/2020,230000.0,11,CHE,5240,DE LICARD,31100,TOULOUSE,31,555,34,,2,2,46,2,0,0.0,2,0,1,1,0,0
1023757,27/08/2020,321000.0,160,AV,1748,DE CASSELARDIT,31300,TOULOUSE,31,555,10,,5,3,59,3,0,60.45,3,0,1,1,0,0
1034135,09/01/2020,155000.0,1,RUE,0189,DE LA FONTASSE,31560,NAILLOUX,31,396,1615,,2,3,65,3,0,0.0,2,0,1,1,0,0
1043119,09/01/2020,350000.0,1,RUE,0183,DE L HERS,31120,ROQUETTES,31,460,76,,0,1,197,6,857,0.0,1,0,0,0,0,1
989011,22/04/2020,409700.0,18,AV,5196,DE LESPINET,31400,TOULOUSE,31,555,46,,6,2,54,3,0,0.0,2,0,1,1,0,0
1013778,11/03/2020,240000.0,1,IMP,0225,DES TUILERIES,31150,BRUGUIERES,31,91,219,,0,1,75,4,395,0.0,1,0,0,0,0,1
996316,15/07/2020,133000.0,16,RUE,8408,DU TAUR,31000,TOULOUSE,31,555,177,,1,2,22,1,0,0.0,1,0,1,0,0,0
988113,11/03/2020,295000.0,77,RTE,0220,DE MONTRABE,31180,ROUFFIAC TOLOSAN,31,462,11,,1,1,88,4,0,0.0,1,1,0,0,0,1
1013758,17/03/2020,3900000.0,72,CHE,0220,DE VIGNAUX,31840,AUSSONNE,31,32,380,,0,,365,8,2672,0.0,4,0,0,0,0,1
1004727,06/11/2020,328900.0,9001,RUE,0017,D AQUITAINE,31150,FENOUILLET,31,182,160,,2,3,81,4,0,82.37,2,0,1,1,0,0
1024590,21/09/2020,2.2917646E7,,AV,3984,DE GRANDE BRETAGNE,31300,TOULOUSE,31,555,192,,3,,0,0,8295,0.0,6,1,0,1,0,0
992533,19/06/2020,280000.0,8,RUE,0361,ANNA POLITKOVSKAIA,31200,TOULOUSE,31,555,399,,2,2,43,2,0,0.0,2,0,1,1,0,0
1040712,06/11/2020,580000.0,314,RTE,0012,DE SAINT SULPICE,31380,AZAS,31,38,593,,0,1,206,8,2559,0.0,4,0,0,0,0,1
1058352,09/09/2020,370000.0,70,CHEM,0107,DU PLECH,31160,ENCAUSSE-LES-THERMES,31,167,1458,,0,1,354,10,4903,0.0,2,0,0,0,0,1
1010186,07/01/2020,708000.0,237,,B052,LANGEL,31340,VACQUIERS,31,563,178,,0,1,340,16,1800,0.0,2,0,0,0,0,1
996717,21/07/2020,152000.0,4,RUE,3964,GOUDOULI,31400,TOULOUSE,31,555,377,,4,3,0,0,0,0.0,4,0,0,1,0,0
1049683,09/09/2020,113000.0,4,AV,0101,DES MURIERS,31120,ROQUES,31,458,341,,3,2,42,2,0,0.0,1,0,1,0,0,0
1039761,09/09/2020,200000.0,24,RTE,0100,DE LA PLACE,31320,REBIGUE,31,448,318,,0,,0,0,1010,0.0,1,0,0,0,0,0
1023895,20/08/2020,398870.0,34,RUE,2370,DU PRAT DESSUS,31830,PLAISANCE DU TOUCH,31,424,1206,,0,1,131,5,299,0.0,1,0,0,0,0,1
1015977,19/05/2020,236000.0,16,RUE,2568,DE LA SOLIDARITE,31830,PLAISANCE DU TOUCH,31,424,60,,4,2,42,2,0,41.54,2,0,1,1,0,0
1040858,06/11/2020,120350.0,9,RUE,0009,DE L EGLISE,31460,AURIAC SUR VENDINELLE,31,26,793,,0,1,80,3,65,0.0,1,0,0,0,0,1
1032986,17/12/2020,340000.0,6,RUE,2724,DOLIVE,31300,TOULOUSE,31,555,417,,3,3,40,2,0,39.36,2,0,1,1,0,0
1040819,06/11/2020,223968.5,695,RTE,0007,DE LAVAUR,31380,AZAS,31,38,516,,0,1,99,6,978,0.0,1,0,0,0,0,1
995214,01/07/2020,143665.36,3,RUE,0431,LOUIS BRAILLE,31520,RAMONVILLE ST AGNE,31,446,233,,2,2,22,1,0,0.0,2,0,1,1,0,0
1041173,06/11/2020,210000.0,14,AV,0001,DES COTEAUX,31320,VIGOULET AUZIL,31,578,326,,0,,0,0,148,0.0,1,0,0,0,0,0
992131,19/06/2020,264000.0,7,RUE,0377,GEORGES DE BUFFON,31130,BALMA,31,44,349,,2,3,38,2,0,36.53,2,0,1,1,0,0
1040759,06/11/2020,346100.0,9,CHE,0002,DE L'EGLISE,31570,ST PIERRE DE LAGES,31,512,272,,0,1,129,4,0,0.0,1,0,0,0,0,1
1043412,07/01/2020,492000.0,5003,,B059,REVEL,31430,GRATENS,31,229,1222,,0,1,188,6,2002,0.0,2,0,0,0,0,1
1028088,06/11/2020,664400.0,,RTE,0003,DE GRENADE,31330,LAUNAC,31,281,794,,0,1,256,8,2146,0.0,2,0,0,0,0,1
1003481,29/10/2020,1000152.0,108,RUE,7968,ST ROCH,31400,TOULOUSE,31,555,203,,2,1,160,6,310,0.0,3,1,0,0,0,1
1001831,13/10/2020,338500.0,13,RUE,5536,MALCOUSINAT,31000,TOULOUSE,31,555,369,,1,2,150,5,0,64.9,1,0,1,0,0,0
1037670,01/07/2020,920000.0,26,IMP,0405,DE LA PLACE,31750,ESCALQUENS,31,169,150,,0,1,234,8,1004,0.0,2,0,0,0,0,1
1010516,23/01/2020,166000.0,20,CHE,8500,DU TOUCH,31300,TOULOUSE,31,555,5,,2,2,26,1,0,26.24,2,0,1,1,0,0
1022891,07/08/2020,315000.0,174,AV,6160,DE MURET,31300,TOULOUSE,31,555,259,,4,2,56,1,0,55.65,2,0,1,1,0,0
1018224,22/06/2020,800.0,11,RUE,2922,PAUL VALERY,31170,TOURNEFEUILLE,31,557,183,,1,3,0,0,0,0.0,1,0,0,1,0,0
989680,20/05/2020,125000.0,50,RUE,7620,DES ROSEAUX,31400,TOULOUSE,31,555,379,,2,3,25,1,0,25.24,2,0,1,1,0,0
1000296,14/09/2020,465900.0,6,RUE,0632,AUFRERY,31500,TOULOUSE,31,555,593,,2,2,67,3,0,67.83,2,0,1,1,0,0
986448,03/03/2020,364000.0,,AV,4540,JEAN CHAUBET,31500,TOULOUSE,31,555,259,,2,,0,0,0,0.0,2,1,0,0,0,0
988189,17/03/2020,282000.0,2,RUE,0200,ALFRED RAMBAUD,31400,TOULOUSE,31,555,318,,1,3,0,0,0,0.0,1,1,0,1,0,0
1007831,14/12/2020,3780000.0,31,CHE,1884,DE CHANTELLE,31200,TOULOUSE,31,555,220,,7,,346,0,0,0.0,7,1,0,0,1,0
1009300,29/12/2020,852000.0,,RTE,4884,DE LABEGE,31400,TOULOUSE,31,555,147,,4,,0,0,0,0.0,4,1,0,0,0,0
989873,20/05/2020,493600.0,9,RUE,7628,DES ROSES,31500,TOULOUSE,31,555,239,,2,2,74,4,0,72.84,2,0,1,1,0,0
1011708,31/01/2020,140000.0,12,RUE,6860,PIERRE BENECH,31100,TOULOUSE,31,555,184,,2,3,40,1,0,0.0,2,0,1,1,0,0
1040678,06/11/2020,270500.0,15,RUE,0038,PAUL VERLAINE,31570,STE FOY D AIGREFEUILLE,31,480,623,,0,1,92,4,481,0.0,2,0,0,0,0,1
1017694,19/06/2020,701700.0,6,ESP,0387,JACQUES CHIRAC,31270,CUGNAUX,31,157,321,,9,3,66,3,0,0.0,3,1,1,1,0,0
1006451,15/12/2020,704655.0,30,RUE,5256,DES LILAS,31500,TOULOUSE,31,555,145,,0,1,148,5,159,0.0,1,0,0,0,0,1
1004743,06/11/2020,710700.0,162,CHE,0030,BOUDOU,31140,LAUNAGUET,31,282,204,,3,2,77,4,0,78.08,3,0,1,1,0,0
1034134,07/01/2020,18000.0,,,B076,VILLAGE,31190,AURAGNE,31,24,164,,0,,0,0,542,0.0,1,0,0,0,0,0
1052272,06/11/2020,175000.0,32,AV,0032,DU CHAT DE MEYNIAL,31120,ROQUES,31,458,6,,0,1,94,5,956,0.0,1,0,0,0,0,1
1010628,28/01/2020,415634.0,36,CHE,7396,DU RENARD,31100,TOULOUSE,31,555,33,,2,,0,0,0,0.0,2,1,0,0,0,0
1052548,09/12/2020,104000.0,9,RUE,1330,PIERRE DE CAPELE,31600,MURET,31,395,173,,2,2,77,4,0,76.07,2,0,1,1,0,0
1003165,06/10/2020,1316742.0,121,RTE,4884,DE LABEGE,31400,TOULOUSE,31,555,44,,2,1,151,7,1619,0.0,4,0,1,1,0,1
1031576,22/12/2020,218400.0,14,ALL,1920,CHARLES DE FITTE,31300,TOULOUSE,31,555,238,,1,2,41,2,0,0.0,1,0,1,0,0,0
986688,31/01/2020,440000.0,40,CHE,4216,DE HEREDIA,31500,TOULOUSE,31,555,108,,3,3,74,4,0,0.0,2,0,1,1,0,0
984837,24/01/2020,280299.0,41,RUE,3552,FRANZ SCHUBERT,31200,TOULOUSE,31,555,240,,2,2,62,2,0,0.0,1,0,1,0,0,0
1011490,11/02/2020,80300.0,40,RUE,2440,CUVIER,31100,TOULOUSE,31,555,473,,2,3,20,1,0,0.0,2,0,1,1,0,0
1059683,06/11/2020,518000.0,1041,RTE,0027,DE LUCHON,31510,BAGIRY,31,41,739,,0,1,468,16,1475,0.0,3,0,0,0,0,1
1013611,11/03/2020,275000.0,47,RUE,0250,DES PYRENEES,31150,GRATENTOUR,31,230,106,,0,1,92,4,990,0.0,1,0,0,0,0,1
1014900,12/05/2020,8500.0,9000,RUE,0950,SAINT EXUPERE,31700,BLAGNAC,31,69,393,,1,3,0,0,0,0.0,1,0,0,1,0,0
1051591,06/11/2020,226611.0,1,RUE,0025,DES ECHOPES,31600,SAUBENS,31,533,153,,0,1,80,3,301,0.0,1,0,0,0,0,1
1018845,01/07/2020,700000.0,2,ALL,0410,DE LA CORREZE,31770,COLOMIERS,31,149,93,,0,4,127,0,280,0.0,1,0,0,0,1,0
1030526,09/12/2020,188000.0,,AV,3984,DE GRANDE BRETAGNE,31300,TOULOUSE,31,555,212,,1,,0,0,0,0.0,1,1,0,0,0,0
986447,25/02/2020,158500.0,113,RUE,0040,ACHILLE VIADIEU,31400,TOULOUSE,31,555,485,,2,2,33,2,0,23.01,2,0,1,0,0,0
1004016,06/11/2020,774000.0,7,CHE,0060,DE LA CONDITE,31140,MONTBERON,31,364,141,,0,3,119,4,1426,0.0,2,0,0,1,0,1
1023932,14/09/2020,89000.0,,,B008,BELLOTS,31330,LARRA,31,592,85,,0,,0,0,702,0.0,1,0,0,0,0,0
