Index,date_mutation,valeur_fonciere,num_voie,type_voie,code_voie,voie,code_postal,commune,code_dep,code_com,no_plan,no_vol,nb_lot,code_typ_local,surface_reel_bati,nb_piece_prin,surf_terrain,tt_surf_carez,vente,vente_etat_futur_achev,appartement,dependance,local_indus_com,maison
1346429,13/07/2022,1010000.0,261,,B012,BORDENEUVE,31620,CASTELNAU D ESTRETEFONDS,31,118,158,,0,1,94,5,13064,0.0,8,0,0,0,0,1
1375117,07/12/2022,1509640.8,,,,,,FONBEAUZARD,31,186,825,,3,,0,0,0,0.0,4,1,0,0,0,0
1394659,17/06/2022,243000.0,37,AV,0142,JUSTIN PAGES,31190,AUTERIVE,31,33,154,,3,3,42,2,0,0.0,3,0,1,1,0,0
1396377,13/07/2022,6963.0,,,B015,BERRE SUD,31220,MARTRES TOLOSANE,31,324,492,,0,,0,0,4868,0.0,3,0,0,0,0,0
1366670,21/10/2022,480000.0,,,B112,AU PONT DE MARENS,31180,CASTELMAUROU,31,117,46,,0,,0,0,42004,0.0,6,0,0,0,0,0
1346202,13/07/2022,90000.0,,,B017,LA REYNATTE,31480,COX,31,156,1190,,0,,0,0,544,0.0,2,0,0,0,0,0
1363067,28/09/2022,169000.0,14,IMP,0120,LA GARENNE,31660,BUZET-SUR-TARN,31,94,882,,0,1,77,4,143,0.0,1,0,0,0,0,1
1366674,21/10/2022,400000.0,,,B113,POURTAT,31180,CASTELMAUROU,31,117,61,,0,,0,0,29165,0.0,5,0,0,0,0,0
1370331,28/10/2022,720000.0,21,RUE,3336,DE FLEURANCE,31400,TOULOUSE,31,555,367,,4,2,60,4,0,67.9,2,0,1,1,0,0
1345992,13/07/2022,888000.0,,,B018,MOTES OUEST,31180,ST GENIES BELLEVUE,31,484,1,,1,,26,1,94648,0.0,6,0,1,0,0,0
1348981,13/07/2022,357500.0,13,RUE,7016,DU PONT ST PIERRE,31300,TOULOUSE,31,555,290,,1,2,65,3,0,63.45,1,0,1,0,0,0
1402215,28/09/2022,1308000.0,80,CHEM,0121,DES VIGNOLLES,31160,ENCAUSSE-LES-THERMES,31,167,185,,0,3,268,10,7521,0.0,6,0,0,1,0,1
1363940,14/10/2022,848100.0,20,PL,7792,SAINT GEORGES,31000,TOULOUSE,31,555,105,,2,2,168,5,0,0.0,1,0,1,0,0,0
1335681,13/05/2022,237000.0,3,IMP,0310,ANDRE MARFAING,31400,TOULOUSE,31,555,148,,2,2,38,2,0,18.79,2,0,1,0,0,0
1349906,18/07/2022,600000.0,,,B003,CATILAT,31320,MERVILLA,31,340,240,,0,,0,0,1208,0.0,3,0,0,0,0,0
1374257,14/12/2022,594000.0,3,RUE,5622,MARCEL PAGNOL,31100,TOULOUSE,31,555,164,,5,3,65,3,0,0.0,3,0,1,1,0,0
1347507,12/07/2022,250000.0,50,RUE,1650,DES LANDES,31830,PLAISANCE DU TOUCH,31,424,239,,0,,0,0,1767,0.0,1,0,0,0,0,0
1350291,18/07/2022,268010.0,,,B005,BARAT MAYRAOU,31880,LA SALVETAT ST GILLES,31,526,886,,0,,0,0,10,0.0,1,0,0,0,0,0
1329679,04/04/2022,987800.0,24,RUE,5876,MENGAUD,31200,TOULOUSE,31,555,96,,2,2,108,6,0,0.0,2,0,1,1,0,0
1349613,20/07/2022,1398973.0,16,AV,0670,DE GAMEVILLE,31650,ST ORENS DE GAMEVILLE,31,506,138,,5,,0,0,2157,0.0,6,1,0,0,0,0
1408405,15/12/2022,1020000.0,2,ALL,0029,DES LOISIRS,31110,ST-MAMET,31,500,26,,3,,0,0,0,0.0,3,1,0,0,0,0
1321594,24/02/2022,302200.0,26,CHE,8500,DU TOUCH,31300,TOULOUSE,31,555,61,,2,2,66,3,0,66.68,2,0,1,1,0,0
