index,date_mutation,valeur_fonciere,num_voie,type_voie,code_voie,voie,code_postal,commune,code_dep,code_com,no_plan,no_vol,nb_lot,code_typ_local,surface_reel_bati,nb_piece_prin,surf_terrain,tt_surf_carez,vente,vente_etat_futur_achev,appartement,dependance,local_indus_com,maison
09/02/2023,09/02/2023,2537950.0,39,,B011,ENGUINOT,31480,LE GRES,31,234,156,,0,1,204,9,4454,0.0,11,0,0,1,0,1
19/04/2023,19/04/2023,206860.5,14,RUE,0212,MARGUERITE YOURCENAR,31130,QUINT,31,445,133,,0,1,79,4,163,0.0,1,0,0,0,0,1
19/04/2023,19/04/2023,835403.0,7,AV,0220,DE CORNEBARRIEU,31700,BLAGNAC,31,69,127,,5,2,83,4,0,0.0,3,1,1,1,0,0
16/03/2023,16/03/2023,809500.0,1,RUE,6632,PAUL MERIEL,31000,TOULOUSE,31,555,257,,2,3,91,3,0,88.65,2,0,1,1,0,0
14/04/2023,14/04/2023,320000.0,8,RUE,0109,DES JUILLASSES,31620,BOULOC,31,79,80,,0,1,95,4,817,0.0,1,0,0,0,0,1
06/09/2023,06/09/2023,390000.0,10,RUE,1160,DES ECOLES,31830,PLAISANCE DU TOUCH,31,424,676,,2,2,63,3,0,65.16,2,0,1,1,0,0
01/03/2023,01/03/2023,189100.0,5,IMP,0527,ARNAUD DANIEL,31300,TOULOUSE,31,555,241,,2,3,22,1,0,22.03,2,0,1,1,0,0
08/06/2023,08/06/2023,582000.0,207,RUE,4140,HENRI DESBALS,31100,TOULOUSE,31,555,393,,5,2,98,4,0,0.0,3,0,1,1,0,0
24/08/2023,24/08/2023,1329000.0,62,ALL,2584,DES DEMOISELLES,31400,TOULOUSE,31,555,412,,5,2,110,5,0,0.0,3,0,1,1,0,0
14/04/2023,14/04/2023,300000.0,4,AV,0101,DES MURIERS,31120,ROQUES,31,458,341,,9,2,41,2,0,41.09,3,0,1,1,0,0
14/04/2023,14/04/2023,273200.0,21,CHE,0100,DE LABASTIDOLE,31140,PECHBONNIEU,31,410,76,,2,3,45,2,0,0.0,2,0,1,1,0,0
15/12/2023,15/12/2023,560600.0,13,RUE,0532,ARNAUD VIDAL,31000,TOULOUSE,31,555,98,,2,3,54,3,0,53.01,2,0,1,1,0,0
20/04/2023,20/04/2023,350000.0,15,RUE,5592,MARC SANGNIER,31300,TOULOUSE,31,555,861,,0,,0,0,167,0.0,1,0,0,0,0,0
